藥品分類分組名稱,醫令申報數量
"BECLOMETHASONE , 口鼻噴霧/吸入劑 , 50.00 MCG",165662
"CARBENOXOLONE , 口內膏 , 20.00  MG/GM , 5.00 GM",4975
"CHLORHEXIDINE , 外用液劑 , 2.00  MG/ML , 200.00 ML",302148
"CHLOROPHYLL SODIUM COPPER , 一般錠劑膠囊劑 , 25.00 MG",22715
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 1.00 GM",44216
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 2.00 GM",58205
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 5.00 GM",191469
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 8.00 GM",88
"EPINEPHRINE , 外用液劑 , 1.00  MG/ML , 1.00 ML",249473
"TRIAMCINOLONE , 外用錠劑 , 25.00 MCG",1496
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 1.00 GM",64650
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 3.00 GM",9595
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 3.50 GM",51595
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 5.00 GM",284042
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 6.00 GM",9664
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 10.00 GM",31
"ALUMINUM CHLORHYDROXYALLANTOINATE (=ALCOXA) , 一般錠劑膠囊劑 , 100.00 MG",11972
"ALUMINUM DIHYDROXYALLANTOINATE 50MG + ALUMINUM MAGNESIUM SILICATE 450MG,一般錠劑膠囊劑,",106182609
"ALUMINUM DIHYDROXYALLANTOINATE 100MG/GM + ALUMINUM MAGNESIUM SILICATE100MG/GM, 口服顆粒劑, 1.00GM",2768
"ALUMINUM DIHYDROXYALLANTOINATE (=ALDIOXA) , 一般錠劑膠囊劑 , 100.00 MG",22343017
"ALUMINUM HYDROXIDE 30MG + MAGNESIUM CARBONATE 40MG + ALGINIC ACID 200MG,一般錠劑膠囊劑,",19135989
"ALUMINUM HYDROXIDE 400MG + ALUMINUM SILICATE 100MG + MAGNESIUM OXIDE 140MG+ HISTIDINE 20MG, 一般錠劑膠囊劑,",64200
"PHENOBARBITAL 8.1MG + HOMATROPINE METHYLBROMIDE 1.8mg + ALUMINUMHYDROXIDE DRIED GEL 243MG + MAGNESIUM TRISILICATE&nbsp;81MG, 一般錠劑膠囊劑",40425
"ALUMINUM HYDROXIDE DRIED GEL 150MG+ALUMINUM SILICATE 225MG + SCOPOLIAEXTRACT 5MG + GLYCINE 60MG + BENZOCAINE 25MG + CHLOROPHYLL SODIUM COPPER5MG+NIACINAMIDE 5MG+PANTOTHENATE CALCIUM 10MG+TAURINE 25MG+GLYCYRRHIZAEXTRACT 5MG, 一般錠劑膠囊劑",9376
"ALUMINUM HYDROXIDE , 一般錠劑膠囊劑 , 300.00 MG",12675
"ALUMINUM HYDROXIDE GEL 125MG+MAGNESIUM CARBONATE 125MG+BELLADONNAEXTRACT 6MG+PROPANTHELINE BROMIDE 12.5MG+PHENOBARBITAL 10MG,一般錠劑膠囊劑",24
"ALUMINUM MAGNESIUM SILICATE 147MG + CHLOROPHYLL SODIUM COPPER 0.5MG +GLYCINE 10MG + GLYCYRRHIZIC ACID 35MG + MAGNESIUM CARBONAT 10MG +PIPERIDOLATE 1.5MG, 一般錠劑膠囊劑,",1057971
"ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE, 一般錠劑膠囊劑,",65968
"ALUMINUM SILICATE 845MG + GLYCYRRHIZIC ACID 150MG, 口服顆粒劑,",13289
"AZULENE , 一般錠劑膠囊劑 , 2.00 MG",14239298
"AZULENE , 一般錠劑膠囊劑 , 20.00 MG",45
"AZULENE , 口服顆粒劑 , 10.00 MG",2495
"GUAIAZULENE SODIUM SULFONATE 2MG+SODIUM BICARBONATE 20MG,一般錠劑膠囊劑",821
"BENACTYZINE 10MG + ALUMINUM HYDROXIDE 100MG + CHLOROPHYLLIN 1MG, 一般錠劑膠囊劑,",259173
"BISMUTH SUBCARBONATE , 一般錠劑膠囊劑 , 324.00 MG",3079842
"BISMUTH SUBCITRATE or BISMUTH SUBNITRATE , 一般錠劑膠囊劑 , 300.00 MG",288600
"BUTINOLIN 2MG + ALUMINUM HYDROXIDE 200MG + CALCIUM CARBONATE 300MG, 一般錠劑膠囊劑,",2176295
"BUTINOLIN 2MG + BISMUTH SUBNITRATE 150MG + CALCIUM CARBONATE 600MG, 一般錠劑膠囊劑,",1633093
"CARBENOXOLONE , 一般錠劑膠囊劑 , 50.00 MG",73118
"CETRAXATE , 一般錠劑膠囊劑 , 100.00 MG",250
"CETRAXATE , 一般錠劑膠囊劑 , 200.00 MG",889
"CIMETIDINE , 一般錠劑膠囊劑 , 200.00 MG",28548769
"CIMETIDINE , 一般錠劑膠囊劑 , 300.00 MG",27013066
"CIMETIDINE , 一般錠劑膠囊劑 , 400.00 MG",6280973
"CIMETIDINE , 一般錠劑膠囊劑 , 800.00 MG",6105
"CIMETIDINE , 口服液劑 , 20.00  MG/ML , 1.00 ML",24922
"CIMETIDINE , 口服液劑 , 20.00  MG/ML , 15.00 ML",6749
"CIMETIDINE , 口服液劑 , 20.00  MG/ML , 120.00 ML",6
"CIMETIDINE , 注射劑 , 200.00 MG",267878
"CIMETIDINE , 注射劑 , 300.00 MG",74746
"DICYCLOMINE 2.5MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM OXIDE 100MG, 一般錠劑膠囊劑,",553545
"DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM OXIDE 200MG, 一般錠劑膠囊劑,",228163
"DICYCLOMINE 5MG/GM + ALUMINUM HYDROXIDE 400MG/GM + MAGNESIUM OXIDE200MG/GM, 口服顆粒劑, 1.00GM",97364
"DICYCLOMINE 5MG/GM + ALUMINUM HYDROXIDE 400MG/GM + MAGNESIUM OXIDE200MG/GM, 口服顆粒劑, 100.00GM",176
"DICYCLOMINE 0.5MG/ML + DIMETHICONE 4MG/ML + ALUMINUM HYDROXIDE 40MG/ML +MAGNESIUM HYDROXIDE 20MG/ML, 口服液劑, 1.00ML",59626
"DICYCLOMINE 0.5MG/ML + DIMETHICONE 4MG/ML + ALUMINUM HYDROXIDE 40MG/ML +MAGNESIUM HYDROXIDE 20MG/ML, 口服液劑, 20.00ML",132
"DICYCLOMINE 0.5MG/ML + DIMETHICONE 4MG/ML + ALUMINUM HYDROXIDE 40MG/ML +MAGNESIUM HYDROXIDE 20MG/ML, 口服液劑, 200.00ML",19564
"DICYCLOMINE 2.5MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM OXIDE 100MG +METHYLMETHIONINE 12.5MG, 一般錠劑膠囊劑,",9603981
"DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM OXIDE 200MG +PHENOBARBITAL 10MG, 一般錠劑膠囊劑,",302316
"DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + MAGNESIUMALUMINUM HYDROXIDE CO-DRIED GEL 350MG + CHLOROPHYLL SODIUM COPPER 3MG, 一般錠劑膠囊劑,",125334
